threshold,fp,fn,tp,tn,precision,recall,f1,custo_total
0.45,220,241,1610,429,0.8797814207650273,0.8698001080497029,0.8747622928552024,36122.5
0.46,214,250,1601,435,0.8820936639118457,0.8649378714208535,0.8734315330060011,37045.0
0.47,211,262,1589,438,0.8827777777777778,0.8584548892490546,0.8704464530265681,38425.0
0.48,201,282,1569,448,0.8864406779661017,0.8476499189627229,0.8666114333057167,40574.99999999999
0.49,196,294,1557,453,0.8881916714204221,0.8411669367909238,0.8640399556048834,41894.99999999999
0.5,189,310,1541,460,0.8907514450867052,0.8325229605618585,0.8606534487573304,43644.99999999999
0.51,177,326,1525,472,0.8960047003525264,0.823878984332793,0.858429496200394,45244.99999999999
0.52,170,334,1517,479,0.8992294013040901,0.8195569962182604,0.8575466365178067,46014.99999999999
0.53,162,352,1499,487,0.9024683925346177,0.8098325229605619,0.8536446469248291,47979.99999999999
0.54,153,366,1485,496,0.9065934065934066,0.8022690437601296,0.8512467755803955,49424.99999999999
0.55,150,377,1474,499,0.9076354679802956,0.7963263101026472,0.8483453237410072,50682.49999999999
0.56,146,398,1453,503,0.908692933083177,0.7849810913019989,0.8423188405797102,53134.99999999999
0.57,142,420,1431,507,0.9097266369993643,0.773095623987034,0.8358644859813084,55709.99999999999
0.58,132,432,1419,517,0.9148936170212766,0.766612641815235,0.8342151675485009,56879.99999999999
0.59,124,444,1407,525,0.9190071848465056,0.7601296596434359,0.8320520402128918,58109.99999999999
0.6,119,462,1389,530,0.9210875331564987,0.7504051863857374,0.8270318547186662,60164.99999999999
0.61,110,479,1372,539,0.9257759784075573,0.7412209616423555,0.8232823282328233,61977.49999999999
0.62,101,497,1354,548,0.9305841924398626,0.731496488384657,0.8191167574107683,63912.49999999999
0.63,98,515,1336,551,0.9316596931659693,0.7217720151269584,0.8133942161339421,66027.5
0.64,91,532,1319,558,0.9354609929078014,0.7125877903835764,0.8089543084943269,67900.0
0.65,89,554,1297,560,0.9357864357864358,0.7007023230686116,0.8013592832869941,70534.99999999999
